Team code,Unprotected File List,What is the theme of your experiment?
astrotrees,astrotrees.zip (2 Kb.): https://www.tfaforms.com/uploads/get/eb489a35ebb3616f2b58139abdbdade5-astrotrees.zip/212937/c1d565d4fff058ee18ade0f206a99f0e,Life on Earth
accemag,main.py.zip (1 Kb.): https://www.tfaforms.com/uploads/get/f699cfe5af8e81378e156c402b149196-main.py.zip/212937/0debdcec6886b0c1cfa80005329b1c9c,Life in Space
ls2m2f,main LS2M2F.zip (1 Kb.): https://www.tfaforms.com/uploads/get/662757f92f14b7b76ffc610d7d056047-mainLS2M2F.zip/212937/935bf11e19903003c00805819b7a602e,Life on Earth
zigzug,main.zip (1 Kb.): https://www.tfaforms.com/uploads/get/f77b2d7d2994a12abf915d785f136f0f-main.zip/212937/7c7e1e302bb578eeb20af4d19d244775,Life on Earth
astroltn,AstroLTN.zip (6784 Kb.): https://www.tfaforms.com/uploads/get/fe723b962a98c7e745471d199065e27f-AstroLTN.zip/212937/b627727d8dd4a2d729d353a5b2794116,Life in Space
teamzcbm,main.zip (1 Kb.): https://www.tfaforms.com/uploads/get/11824ce1f009b5cd657ad51e398ddf32-main.zip/212937/0a2cd91d3dfa0a357a83aba32db4ad91,Life on Earth
spacepadawan,spacepadawan.zip (2 Kb.): https://www.tfaforms.com/uploads/get/c68158c5ecfb6f9a819ad6c365539165-spacepadawan.zip/212937/1b16b90bdd5a292f17d75ae5c9a8de71,Life on Earth
pinuts,main.py.zip (2 Kb.): https://www.tfaforms.com/uploads/get/f78be544c9de89bdc32207ffaae7acf9-main.py.zip/212937/53bcdffd99c9495ad62057694253bb9c,Life in Space
vidhyascode,LogZero Astropi V3.zip (1 Kb.): https://www.tfaforms.com/uploads/get/7765e4d078737c6cb1bf404dcc1928eb-LogZeroAstropiV3.zip/212937/255009579f139a5eac30f2f3044c29ed,Life in Space
spacewombats,main.py.zip (2 Kb.): https://www.tfaforms.com/uploads/get/7cdcae86aeedf7cc16c442d776dce9d9-main.py.zip/212937/74a9c55e22f0d767e5aea1b6c3dd230c,Life on Earth
turtlepi,turtlepi.apk (1 Kb.): https://www.tfaforms.com/uploads/get/f30e46d8cec1416a48bbc57f50b745e0-turtlepi.apk/212937/5b99ceb2becfb242962cc683658b6f30,Life on Earth
lesraspberries,raspberries.zip (2 Kb.): https://www.tfaforms.com/uploads/get/5d1c73b1b7e3d1e12ed4adc95ea7d15c-raspberries.zip/212937/1c5af8d3c5f6d3b28fc6d46352a0479b,Life in Space
earnscliffeeagles3,Code.zip (0 Kb.): https://www.tfaforms.com/uploads/get/f826c619d2245005d87489ba16d3c749-Code.zip/212937/99db38c21fd5b2d2f15f71fc6d5fdb5b,Life on Earth
orbitalcoders,OrbitalCoders.zip (1 Kb.): https://www.tfaforms.com/uploads/get/aa1f61c8d23cccf9069535962ced2c7d-OrbitalCoders.zip/212937/aa29d3ba4aa209104b163434128da79a,Life in Space
lesastropisiciennes,main.zip (1 Kb.): https://www.tfaforms.com/uploads/get/e8e1f403546f8748f9692c7c50c99457-main.zip/212937/8a0805c6d67df4d37485ef26d11171d8,Life in Space
astroltn,AstroLTN.zip (6784 Kb.): https://www.tfaforms.com/uploads/get/dedf8a462a692f0b3ef4ffa7dfb6b267-AstroLTN.zip/212937/13afa49e2bd627981ce25f4dde35bbd1,Life in Space
littlecodersiej,main.py.zip (3 Kb.): https://www.tfaforms.com/uploads/get/dd032afc451afc809687bd5356031b16-main.py.zip/212937/8b93c0fedb4e0dc627095fdee46fdad0,Life on Earth
4astra,4astra.zip (2 Kb.): https://www.tfaforms.com/uploads/get/2a7d6abaab0eb98e7389245b8e552a05-4astra.zip/212937/1216c153c7e2af5c50761df94c63b052,Life in Space
astrotugas,main.zip (2 Kb.): https://www.tfaforms.com/uploads/get/ca411a696030843761208749be30ba8c-main.zip/212937/662536669be8335c7e78bc14bf91518d,Life on Earth
mostlyharmless,MostlyHarmless2020.zip (3 Kb.): https://www.tfaforms.com/uploads/get/d582a1515c8d957cabf7a13301863f83-MostlyHarmless2020.zip/212937/a1e0b744c8f75f7e3310d1ab2c97a53b,Life on Earth
spacedout2,main.py.zip (1 Kb.): https://www.tfaforms.com/uploads/get/b55abccb470ad4843a54918a7a08e885-main.py.zip/212937/3428e9c43bf1b90314a21f2667bbdffc,Life in Space
myspace,main.py.zip (1 Kb.): https://www.tfaforms.com/uploads/get/2811dc51b2dbc1c64bd1eeecf6fdb331-main.py.zip/212937/092425a4fb976a35ad6e93029b9896a4,Life in Space
space4life,space4life.zip (3 Kb.): https://www.tfaforms.com/uploads/get/66e95b92ecd939cf6cd03aefee2a1be1-space4life.zip/212937/8abe29c41f7664676fc9ce42b905e76e,Life in Space
astrovaccina4,astrovaccina4.zip (1 Kb.): https://www.tfaforms.com/uploads/get/b45f832b75ffc3967ec3646cfa0eb215-astrovaccina4.zip/212937/c57cd8221eb95f0195eb5b600501cbd6,Life in Space
jesto,main.py.zip (3 Kb.): https://www.tfaforms.com/uploads/get/ba048dbcac415fda44ec33845c804173-main.py.zip/212937/1cb1387cc1d2cde884e988dd9acd2fd6,Life on Earth
astrovaccina2,vaccina2.zip (1 Kb.): https://www.tfaforms.com/uploads/get/e59d0308242446f7f4fbe3a46d02d693-vaccina2.zip/212937/591807277ddf45b0d6b428f9095b1939,Life on Earth
codedojovrmagneto,main.zip (2 Kb.): https://www.tfaforms.com/uploads/get/a73380a8c44c498d393b245b9cbe7753-main.zip/212937/fca953bef5fe786d39cc4b27cd98bb38,Life in Space
quantumnauts,main.zip (2 Kb.): https://www.tfaforms.com/uploads/get/269c32f098bb09736683ae9ce4f4a2ac-main.zip/212937/5ed9b8de21873dbe991aefd59d2187c3,Life on Earth
codedojovrvegetation,main.zip (2 Kb.): https://www.tfaforms.com/uploads/get/f4ce9dbc26ded80617661fa72e36fae8-main.zip/212937/8c6c85bd0de111d4170bcb137274f133,Life on Earth
codedojovrmeteor,main.zip (3 Kb.): https://www.tfaforms.com/uploads/get/45ddd84ffe0c9b86d16416f15b701045-main.zip/212937/9a5704bb2622ac72f6673cb0074dc7f6,Life on Earth
intergalacticteam,main.zip (2 Kb.): https://www.tfaforms.com/uploads/get/eab908a83cf21234eff886b404ca9c2b-main.zip/212937/7d5c9e24c7a67ce5bf756ce31dbe44e5,Life in Space
dojodetctpresence,main.zip (1 Kb.): https://www.tfaforms.com/uploads/get/21ebd475d492c7281e801d309c244c69-main.zip/212937/7df29165cf7b01e734cfd9aa91d2a215,Life in Space
CSLab3oGel,CSLab3o_code.zip (3 Kb.): https://www.tfaforms.com/uploads/get/6023c8c0322c4b021870f630b755fa97-CSLab3o_code.zip/212937/2430810ca977a9320094c285bceca433,Life on Earth
314parallax,314parallax.zip (3 Kb.): https://www.tfaforms.com/uploads/get/5397061e2ef9550df82b0a1ee5b0c7ed-314parallax.zip/212937/3fa7d8859bd836838f069dd80444b5ac,Life on Earth
astrowarning,main.py.zip (1 Kb.): https://www.tfaforms.com/uploads/get/eb49ef5f03354b883dfd3f574e229d68-main.py.zip/212937/ed9a52db8e063ff5413573455adc16a7,Life in Space
celestial,main.py.apk (1 Kb.): https://www.tfaforms.com/uploads/get/29892eb7299fef389101f9332d8da601-main.py.apk/212937/7a808c0ba804fa4c70fac57dce48b427,Life in Space
healthworld,main.zip (1 Kb.): https://www.tfaforms.com/uploads/get/5977ed03899a09ebb856e1b584d3d906-main.zip/212937/ee4ef4cc5e5c787f93a880ce7d9056e1,Life on Earth
astropigirls,testehumidadeAstroPiGirls.zip (1 Kb.): https://www.tfaforms.com/uploads/get/ecfd3c602573131296413547103a2e6e-testehumidadeAstroPiGirls.zip/212937/1cf9667ee446d73cca80207e1f857370,Life in Space
interschoolspace,main.zip (3 Kb.): https://www.tfaforms.com/uploads/get/2f193792c3638a1708829208bcb7f428-main.zip/212937/7f6f7d8667c97658a69aa5d639e148a6,Life in Space
